game_id,total_messages_game,avg_messages_per_player,avg_message_length_game,max_messages_one_player,winner_team,last_day,n_players,end_reason
74788902,24.0,3.0,472.25,4.0,Villagers,2.0,8,Reason: All werewolves exiled.
74788904,24.0,3.0,332.65625,4.0,Werewolves,2.0,8,"Reason: len(werewolves) >= len(villagers). Final counts: len(werewolves)=2, len(villagers)=2)."
74788934,36.0,4.5,660.6354166666666,6.0,Werewolves,4.0,8,"Reason: len(werewolves) >= len(villagers). Final counts: len(werewolves)=1, len(villagers)=1)."
74788967,26.0,3.25,442.25,4.0,Werewolves,3.0,8,"Reason: len(werewolves) >= len(villagers). Final counts: len(werewolves)=2, len(villagers)=2)."
74788999,24.0,3.0,559.15625,4.0,Werewolves,2.0,8,"Reason: len(werewolves) >= len(villagers). Final counts: len(werewolves)=2, len(villagers)=2)."
74789000,30.0,3.75,618.8125,6.0,Villagers,3.0,8,Reason: All werewolves exiled.
74789096,27.0,3.375,413.4583333333333,4.0,Werewolves,3.0,8,"Reason: len(werewolves) >= len(villagers). Final counts: len(werewolves)=2, len(villagers)=2)."
74789224,32.0,4.0,408.7916666666667,6.0,Villagers,3.0,8,Reason: All werewolves exiled.
74789286,24.0,3.0,727.125,4.0,Villagers,2.0,8,Reason: All werewolves exiled.
74789319,24.0,3.0,451.6875,4.0,Villagers,2.0,8,Reason: All werewolves exiled.
74789348,26.0,3.25,437.4375,4.0,Werewolves,3.0,8,"Reason: len(werewolves) >= len(villagers). Final counts: len(werewolves)=2, len(villagers)=2)."
74789380,26.0,3.25,490.0,4.0,Werewolves,3.0,8,"Reason: len(werewolves) >= len(villagers). Final counts: len(werewolves)=2, len(villagers)=2)."
74789412,23.0,2.875,369.73958333333337,4.0,Werewolves,2.0,8,"Reason: len(werewolves) >= len(villagers). Final counts: len(werewolves)=2, len(villagers)=2)."
74789441,24.0,3.0,571.3125,4.0,Villagers,2.0,8,Reason: All werewolves exiled.
74789534,36.0,4.5,479.6354166666667,6.0,Villagers,3.0,8,Reason: All werewolves exiled.
74789723,30.0,3.75,497.6875,6.0,Villagers,3.0,8,Reason: All werewolves exiled.
74789727,30.0,3.75,570.3958333333334,6.0,Villagers,3.0,8,Reason: All werewolves exiled.
74789792,24.0,3.0,581.75,4.0,Villagers,2.0,8,Reason: All werewolves exiled.
74789799,36.0,4.5,617.7083333333334,6.0,Villagers,3.0,8,Reason: All werewolves exiled.
74789828,30.0,3.75,429.36458333333337,6.0,Villagers,3.0,8,Reason: All werewolves exiled.
74789830,24.0,3.0,346.8125,4.0,Villagers,2.0,8,Reason: All werewolves exiled.
74789831,30.0,3.75,537.9166666666666,6.0,Villagers,3.0,8,Reason: All werewolves exiled.
74789901,26.0,3.25,457.59375,4.0,Villagers,2.0,8,Reason: All werewolves exiled.
74789939,26.0,3.25,499.71875,4.0,Werewolves,3.0,8,"Reason: len(werewolves) >= len(villagers). Final counts: len(werewolves)=2, len(villagers)=2)."
74789943,26.0,3.25,390.5625,4.0,Villagers,2.0,8,Reason: All werewolves exiled.
74789984,24.0,3.0,335.09375,4.0,Villagers,2.0,8,Reason: All werewolves exiled.
74789993,24.0,3.0,431.84375,4.0,Werewolves,2.0,8,"Reason: len(werewolves) >= len(villagers). Final counts: len(werewolves)=2, len(villagers)=2)."
74789995,24.0,3.0,462.03125,4.0,Werewolves,2.0,8,"Reason: len(werewolves) >= len(villagers). Final counts: len(werewolves)=2, len(villagers)=2)."
74789997,33.0,4.125,522.4166666666667,6.0,Villagers,3.0,8,Reason: All werewolves exiled.
74789998,26.0,3.25,380.375,4.0,Villagers,2.0,8,Reason: All werewolves exiled.
74790010,24.0,3.0,555.96875,4.0,Villagers,2.0,8,Reason: All werewolves exiled.
74790013,26.0,3.25,459.125,4.0,Villagers,2.0,8,Reason: All werewolves exiled.
74790017,26.0,3.25,646.03125,4.0,Villagers,2.0,8,Reason: All werewolves exiled.
74790020,24.0,3.0,319.09375,4.0,Werewolves,2.0,8,"Reason: len(werewolves) >= len(villagers). Final counts: len(werewolves)=2, len(villagers)=2)."
74790036,26.0,3.25,398.625,4.0,Villagers,2.0,8,Reason: All werewolves exiled.
74790047,24.0,3.0,591.53125,4.0,Werewolves,3.0,8,"Reason: len(werewolves) >= len(villagers). Final counts: len(werewolves)=2, len(villagers)=2)."
74790050,26.0,3.25,362.59375,4.0,Villagers,2.0,8,Reason: All werewolves exiled.
74790053,24.0,3.0,468.59375,4.0,Werewolves,2.0,8,"Reason: len(werewolves) >= len(villagers). Final counts: len(werewolves)=2, len(villagers)=2)."
74790060,24.0,3.0,328.96875,4.0,Villagers,2.0,8,Reason: All werewolves exiled.
74790067,26.0,3.25,314.625,4.0,Villagers,2.0,8,Reason: All werewolves exiled.
74790077,26.0,3.25,443.9375,4.0,Werewolves,3.0,8,"Reason: len(werewolves) >= len(villagers). Final counts: len(werewolves)=2, len(villagers)=2)."
74790080,38.0,4.75,431.8958333333333,6.0,Villagers,3.0,8,Reason: All werewolves exiled.
74790082,26.0,3.25,350.84375,4.0,Villagers,2.0,8,Reason: All werewolves exiled.
74790092,34.0,4.25,454.09375,6.0,Villagers,3.0,8,Reason: All werewolves exiled.
74790094,24.0,3.0,375.59375,4.0,Villagers,2.0,8,Reason: All werewolves exiled.
74790099,26.0,3.25,502.375,4.0,Villagers,2.0,8,Reason: All werewolves exiled.
74790103,40.0,5.0,503.58333333333337,6.0,Villagers,3.0,8,Reason: All werewolves exiled.
74790112,26.0,3.25,452.8125,4.0,Villagers,2.0,8,Reason: All werewolves exiled.
74790127,28.0,3.5,476.0625,4.0,Villagers,2.0,8,Reason: All werewolves exiled.
74790129,28.0,3.5,390.5625,4.0,Villagers,2.0,8,Reason: All werewolves exiled.
74790135,24.0,3.0,545.90625,4.0,Werewolves,2.0,8,"Reason: len(werewolves) >= len(villagers). Final counts: len(werewolves)=2, len(villagers)=2)."
74790138,26.0,3.25,484.375,4.0,Villagers,2.0,8,Reason: All werewolves exiled.
74790147,28.0,3.5,694.46875,4.0,Villagers,2.0,8,Reason: All werewolves exiled.
74790153,24.0,3.0,462.09375,4.0,Werewolves,2.0,8,"Reason: len(werewolves) >= len(villagers). Final counts: len(werewolves)=2, len(villagers)=2)."
74790154,24.0,3.0,433.25,4.0,Villagers,2.0,8,Reason: All werewolves exiled.
74790162,24.0,3.0,371.78125,4.0,Werewolves,2.0,8,"Reason: len(werewolves) >= len(villagers). Final counts: len(werewolves)=2, len(villagers)=2)."
